Electron-beam technology in microelectronic fabrication,"['Brewer, George Raymond, 1922- [Author; Editor]', 'Ballantyne, J. P. [Associated name; Author]']",en,1980,875876351,012133550X,9780121335502
Molecular approaches to neurobiology,"['Brown, Ian R. [Editor]']",English,1982,7924848,0121370208,9780121370206
"Music theory, special topics",[],English,1981,7774209,0121380807,9780121380809
Estuarine chemistry,"['Liss, P. S. [Editor]', 'Burton, J. D. 1931- [Associated name; Editor]']",und,1976,2851769,0121473503,9780121473501
The Biology of mistletoes,"['Calder, Malcolm, 1933- [Editor]', 'Bernhardt, Peter, 1952- [Editor]']",English,1983,11026679,0121550559,9780121550554
Membrane transport of calcium,"['Carafoli, Ernesto [Editor; Other]']",English,1982,8502879,0121593207,9780121593209
Primitive sensory and communication systems : the taxes and tropisms of micro-organisms and cells,"['Carlile, M. J. 1930- [Editor]']",English,1975,2049924,0121599507,9780121599508
Genetic organization; a comprehensive treatise.,"['Caspari, Ernst W.', 'Ravin, Arnold W. [Author; Editor]']",English,1969,49346,0121633012,9780121633011
Probes of structure and function of macromolecules and membranes.,"['Blasie, J. Kent [Associated name; Author; Editor; Other]', 'Chance, Britton [Author; Editor; Other]', 'Lee, C. P. 1931-2016 [Author; Editor; Other]']",English,1971,159878,0121678016,9780121678012
"Comparative genetics in monkeys, apes, and man; proceedings of a symposium on comparative genetics in primates and human heredity held at Ernice, Sicily, July 1970.","['Chiarelli, Brunetto, 1934- [Associated name; Author; Editor]']",English,1971,339681,0121725308,9780121725303
Polymer liquid crystals,"['Krigbaum, W. R. 1922- [Editor]', 'Ciferri, A. [Associated name; Editor]', 'Meyer, Robert B. [Editor]']",English,1982,750817025,0121746801,9780121746803
Language use and school performance,"['Cicourel, Aaron Victor, 1928- [Author; Other]']",English,1974,1216440,0121749509,9780121749507
Spatial archaeology,"['Clarke, David L., 1937-1976 [Editor]']",English,1977,3239941,0121757501,9780121757502
Themes in the historical geography of France,"['Clout, Hugh D. [Editor]']",English,1977,3294442,0121758508,9780121758509
Sleep and the maturing nervous system.,"['Mayer, Florence E. [Author; Editor; Other]', 'Purpura, Dominick P. [Associated name; Author; Editor; Other]', 'Clemente, Carmine D. [Author; Editor]']",en,1972,925027507,0121762505,9780121762506
Guidebook on molecular modeling in drug design,"['Cohen, N. Claude [Editor]']",English,1996,32745657,012178245X,9780121782450
The Biology of Botrytis,"['Verhoeff, K. [Editor]', 'Jarvis, W. R. [Editor]', 'Coley-Smith, J. R. [Editor; Other]']",English,1980,7875053,012179850X,9780121798505
Radar signals; an introduction to theory and application,"['Cook, Charles E. (Charles Emerson), 1926-', 'Bernfeld, Marvin [Author]']",en,1987,180410066,0121867501,9780121867508
Diseases of the reptilia.,[],und,1981,8431292,0121879011,9780121879013
Assessing the handicaps and needs of mentally retarded children,[],English,1981,8331369,0121880206,9780121880200
Selected topics in hazardous materials,[],en,1993,78732963,012189410X,9780121894108
"Inhibitory processes in attention, memory, and language",[],English,1994,28722624,0122004108,9780122004100
Dynamical systems and cellular automata,"['Demongeot, J. [Editor]', 'Golès, E. [Editor]', 'Tchuente, Maurice, 1951- [Editor]']",English,1985,11676380,0122090608,9780122090608
"Communication, intimacy, and close relationships","['Derlega, Valerian J. [Associated name; Other]']",English,1984,10185532,012210840X,9780122108402
Uncertainty in economics readings and exercises,[],und,1978,3707992,0122148509,9780122148507
Children's oral communication skills,"['Dickson, W. Patrick [Editor]']",English,1981,7174853,0122154509,9780122154508
International economics and development; essays in honor of Raúl Prebisch.,"['Prebisch, Raúl [Honoree; Other]', 'Di Marco, Luis Eugenio [Editor; Other]']",English,1972,539998,0122164504,9780122164507
"High pressure liquid chromatography in clinical chemistry : proceedings of a symposium held at Kings College Hospital Medical School, December 15-16, 1975","[""King's College London."", 'Dixon, Peter Frederick [Editor]']",English,1976,3018115,0122184505,9780122184505
"Prejudice, discrimination, and racism","['Dovidio, John F. [Editor; Other]', 'Gaertner, Samuel L. [Editor; Other]']",English,1986,13559866,0122214250,9780122214257
The Study of prosimian behavior,"['Doyle, Gerald A. 1931-', 'Martin, R. D. 1942- [Author; Editor]', 'Doyle, G. A [Author]']",English,1979,3912930,0122221508,9780122221507
Encyclopedia of telecommunications,"['Meyers, Robert A. 1936-']",English,1989,18325246,0122266919,9780122266911
Encyclopedia of lasers and optical technology,"['Meyers, Robert A. 1936- [Author; Editor; Other]']",English,1991,21677365,0122266935,9780122266935
"Encyclopedia of violence, peace &amp; conflict",[],en,1999,473738123,012227010X,9780122270109
VLSI handbook,"['Einspruch, Norman G. [Author; Editor; Other]']",en,1985,981424789,0122341007,9780122341007
Science and technology of rubber,"['Mark, James E., 1934- [Author; Editor; Other]', 'Eirich, F. R. 1905- [Editor; Other]', 'Erman, Burak [Author; Editor; Other]']",en,1987,177367873,0122343603,9780122343605
Auditory analysis and perception of speech,"['Fant, Gunnar [Editor]', 'Tatham, M. A. A. [Author; Editor]']",en,1975,612185405,0122485505,9780122485503
Nuclear reactor safety,"['Farmer, F. R [Editor]']",en,1977,865080685,0122493508,9780122493508
The Evolutionary significance of the exine,"['Muller, J [Other]', 'Ferguson, I. K. 1938- [Editor; Other]']",English,1976,2526074,0122536509,9780122536502
The Properties of natural and synthetic diamond,"['Field, J. E. [Editor]']",English,1992,59954613,0122553527,9780122553523
Handbook of human factors and the older adult,"['Fisk, Arthur D. [Other]']",English,1997,34354941,0122576802,9780122576805
Bacteria in their natural environments,"['Floodgate, George D. [Editor; Other]', 'Society for General Microbiology.', 'Fletcher, Madilyn [Editor; Other]']",English,1985,12162770,0122605608,9780122605604
Primate behavior,"['Fobes, James L. [Author; Editor]', 'King, James E. 1916- [Author; Editor]']",und,1982,8476301,0122613201,9780122613203
The blue-green algae,"['Fogg, G. E. 1919-2005 [Author; Other]']",en,1974,974143174,0122616502,9780122616501
"Hydrophobic surfaces; Kendall Award Symposium honoring Albert C. Zettlemoyer, at the 155th meeting of the American Chemical Society, San Francisco, Calif., April 1 and 2, 1968.","['Fowkes, Frederick Mayhew, 1915- [Editor; Other]', 'Zettlemoyer, Albert C., 1915- [Honoree]', 'American Chemical Society [Other]']",English,1969,119473,0122630505,9780122630507
